name,parent,value
Origin,,
California,Origin,16800000
Texas,Origin,11300000
Florida,Origin,11150000
New York,Origin,8930000
Pennsylvania,Origin,6900000
Illinois,Origin,6100000
Ohio,Origin,6100000
North Carolina,Origin,5600000
Michigan,Origin,5559186
Georgia,Origin,5025000
New Jersey,Origin,4495000
Virginia,Origin,4425000
Washington,Origin,4100000
Massachusetts,Origin,3725000
Arizona,Origin,3400000
Wisconsin,Origin,3325000
Colorado,Origin,3295000
Minnesota,Origin,3290000
Indiana,Origin,3070000
Tennessee,Origin,3060000