country,life_expectancy_at_60_males,birth_rate_2017,region
Afghanistan,15.57,33.21,South Asia
Albania,20.45,11.93,Europe & Central Asia
Algeria,21.53,24.85,Middle East & North Africa
Angola,16.48,41.28,Sub-Saharan Africa
Antigua and Barbuda,20.36,15.53,Latin America & Caribbean
Argentina,19.08,17.21,Latin America & Caribbean
Armenia,17.71,14.30,Europe & Central Asia
Aruba,18.33,11.53,Latin America & Caribbean
Australia,24.08,12.40,East Asia & Pacific
Austria,22.69,10.00,Europe & Central Asia
Azerbaijan,16.65,14.60,Europe & Central Asia
Bahamas,20.87,14.05,Latin America & Caribbean
Bahrain,19.34,14.37,Middle East & North Africa
Bangladesh,18.86,18.50,Europe & Central Asia
Barbados,18.23,10.68,Latin America & Caribbean
Belarus,15.37,10.80,Europe & Central Asia
Belgium,22.36,10.50,Europe & Central Asia
Belize,15.93,21.08,Latin America & Caribbean
Benin,16.59,36.62,Sub-Saharan Africa
Bhutan,20.87,17.46,Sub-Saharan Africa
Bolivia,20.23,22.08,Latin America & Caribbean
Bosnia and Herzegovina,19.06,8.29,Europe & Central Asia
Botswana,16.38,25.40,Sub-Saharan Africa
Brazil,20.35,14.13,Latin America & Caribbean
Brunei Darussalam,19.78,15.38,Sub-Saharan Africa
Bulgaria,17.49,9.00,Europe & Central Asia
Burkina Faso,15.02,38.42,Sub-Saharan Africa
Burundi,15.95,39.65,Sub-Saharan Africa
Cabo Verde,17.30,19.92,Sub-Saharan Africa
Cambodia,16.52,22.89,East Asia & Pacific
Cameroon,16.46,35.90,Sub-Saharan Africa
Canada,23.80,10.30,North America
Central African Republic,15.26,16.10,Sub-Saharan Africa
Central Europe and the Baltics,17.51,10.16,Europe & Central Asia
Chad,15.41,42.68,Sub-Saharan Africa
Channel Islands,22.18,9.94,North America
Chile,21.70,12.71,Latin America & Caribbean
China,18.94,12.43,East Asia & Pacific
Colombia,20.50,15.10,Latin America & Caribbean
Comoros,15.48,32.37,Sub-Saharan Africa
"Congo, DemRep",16.42,41.73,Sub-Saharan Africa
"Congo, Rep",17.65,33.38,Sub-Saharan Africa
Costa Rica,22.92,14.25,Latin America & Caribbean
Cote d'Ivoire,14.22,35.99,Sub-Saharan Africa
Croatia,18.82,8.90,Europe & Central Asia
Cuba,22.33,10.39,Latin America & Caribbean
Curacao,21.41,9.70,Latin America & Caribbean
Cyprus,21.13,10.67,Europe & Central Asia
Czech Republic,19.80,10.80,Europe & Central Asia
Denmark,22.06,10.60,Europe & Central Asia
Djibouti,16.94,21.94,Sub-Saharan Africa
Dominica,13.85,25.63,Latin America & Caribbean
Dominican Republic,20.78,19.80,Latin America & Caribbean
"Egypt, Arab Rep",16.25,27.05,Middle East & North Africa
El Salvador,20.44,18.43,Latin America & Caribbean
Equatorial Guinea,16.37,33.73,Sub-Saharan Africa
Eritrea,15.49,30.90,Sub-Saharan Africa
Estonia,18.79,10.50,Europe & Central Asia
Eswatini,14.63,26.77,Sub-Saharan Africa
Ethiopia,17.45,32.78,Sub-Saharan Africa
Finland,22.53,9.10,Europe & Central Asia
France,23.71,32.85,Europe & Central Asia
French Polynesia,19.50,14.95,East Asia & Pacific
Gabon,17.93,32.16,Sub-Saharan Africa
Georgia,16.54,13.72,Europe & Central Asia
Germany,22.19,9.50,Europe & Central Asia
Ghana,15.23,29.84,Sub-Saharan Africa
Greece,22.31,8.20,Europe & Central Asia
Grenada,17.87,16.70,Latin America & Caribbean
Guam,20.63,16.71,East Asia & Pacific
Guatemala,21.03,24.91,Latin America & Caribbean
Guinea,14.98,36.77,Sub-Saharan Africa
Guinea-Bissau,14.69,35.70,Sub-Saharan Africa
Guyana,15.49,20.20,Latin America & Caribbean
Haiti,17.03,24.75,Latin America & Caribbean
Honduras,21.06,21.86,Latin America & Caribbean
"Hong Kong SAR, China",23.76,7.70,South Asia
Hungary,17.89,9.70,Europe & Central Asia
Iceland,23.90,11.90,Europe & Central Asia
India,17.29,18.08,South Asia
Indonesia,15.38,18.42,East Asia & Pacific
"Iran, Islamic Rep.",19.71,19.01,Middle East & North Africa
Iraq,16.34,29.69,Middle East & North Africa
Ireland,22.36,12.90,Europe & Central Asia
Israel,23.73,21.10,Europe & Central Asia
Italy,23.67,7.60,Europe & Central Asia
Jamaica,21.33,16.29,Latin America & Caribbean
Japan,23.57,7.60,East Asia & Pacific
Jordan,18.16,22.62,Middle East & North Africa
Kazakhstan,14.59,21.64,Europe & Central Asia
Kenya,17.88,29.30,Sub-Saharan Africa
Kiribati,15.63,28.29,Sub-Saharan Africa
"Korea, DemPeople Rep",14.54,13.91,South Asia
"Korea, Rep",22.45,7.00,South Asia
Kyrgyz Republic,15.61,24.80,Europe & Central Asia
Lao PDR,16.00,23.96,Sub-Saharan Africa
Lesotho,14.43,27.17,Sub-Saharan Africa
Liberia,15.23,33.43,Sub-Saharan Africa
Libya,16.96,19.38,Sub-Saharan Africa
Liechtenstein,21.00,8.90,Europe & Central Asia
Lithuania,17.27,10.10,Europe & Central Asia
"Macao SAR, China",23.60,11.20,East Asia & Pacific
Madagascar,16.45,32.90,Sub-Saharan Africa
Malawi,16.91,34.59,Sub-Saharan Africa
Malaysia,18.94,16.87,East Asia & Pacific
Maldives,19.97,14.89,East Asia & Pacific
Mali,15.37,42.08,East Asia & Pacific
Malta,22.11,9.20,Europe & Central Asia
Mauritius,18.50,10.70,Sub-Saharan Africa
Mexico,22.12,17.92,Latin America & Caribbean
Micronesia,16.54,22.94,East Asia & Pacific
Montenegro,19.10,11.78,Europe & Central Asia
Morocco,19.69,19.40,Middle East & North Africa
Mozambique,16.42,37.88,Sub-Saharan Africa
Myanmar,15.79,17.70,East Asia & Pacific
Netherlands,22.85,9.90,Europe & Central Asia
New Caledonia,18.88,14.50,East Asia & Pacific
New Zealand,23.67,12.43,East Asia & Pacific
Nicaragua,21.67,21.06,Latin America & Caribbean
Niger,15.62,46.54,Sub-Saharan Africa
Nigeria,13.77,38.38,Sub-Saharan Africa
Papua New Guinea,15.20,27.36,East Asia & Pacific
Paraguay,20.20,20.79,Latin America & Caribbean
Peru,20.31,18.13,Latin America & Caribbean
Philippines,15.62,21.04,East Asia & Pacific
Portugal,22.31,8.40,Europe & Central Asia
Puerto Rico,21.78,7.30,Latin America & Caribbean
Qatar,20.62,9.70,Middle East & North Africa
Romania,18.25,9.70,Europe & Central Asia
Russian Federation,15.75,12.90,Europe & Central Asia
Rwanda,17.79,32.06,Sub-Saharan Africa
Samoa,17.69,24.69,Sub-Saharan Africa
Sao Tome and Principe,17.58,31.97,East Asia & Pacific
Saudi Arabia,17.89,18.32,Middle East & North Africa
Senegal,15.93,35.12,Sub-Saharan Africa
Serbia,17.70,9.20,Europe & Central Asia
Seychelles,17.14,17.20,Sub-Saharan Africa
Sierra Leone,13.26,33.94,Sub-Saharan Africa
Singapore,23.59,8.90,East Asia & Pacific
Slovak Republic,18.47,10.70,Europe & Central Asia
Slovenia,21.63,9.80,Europe & Central Asia
Solomon Islands,16.90,32.88,East Asia & Pacific
Somalia,15.74,41.92,Sub-Saharan Africa
South Africa,14.15,20.91,Sub-Saharan Africa
South Sudan,16.09,35.37,Sub-Saharan Africa
Spain,23.39,8.40,Europe & Central Asia
Sri Lanka,19.65,16.11,South Asia
St. Lucia,19.77,12.14,East Asia & Pacific
St. Vincent and the Grenadines,19.17,14.40,East Asia & Pacific
Sudan,17.28,32.54,Sub-Saharan Africa
Suriname,16.85,18.79,Latin America & Caribbean
Sweden,23.52,11.50,Europe & Central Asia
Vietnam,19.86,16.98,South Asia
Vanuatu,17.08,30.02,East Asia & Pacific
Uzbekistan,16.51,13.30,East Asia & Pacific
Uruguay,19.53,13.96,Latin America & Caribbean
Turkey,19.20,16.26,Europe & Central Asia
United Arab Emirates,20.00,10.46,Middle East & North Africa
Ukraine,15.70,9.40,Europe & Central Asia
Uganda,16.55,38.95,Sub-Saharan Africa
Tunisia,18.70,18.01,Sub-Saharan Africa
Trinidad and Tobago,16.20,22.10,Latin America & Caribbean
Venezuela,19.08,18.23,Latin America & Caribbean
Togo,14.80,33.55,Sub-Saharan Africa